,property_type,seller,status,rate per sqft,price,area,location,RERA
175,3 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 64.03 L,1685 ,Adibatla,approval by RERA
176,3 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 61.75 L,1625 ,Adibatla,approval by RERA
177,3 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"4,830 / sq ft", 85 L,1760 ,Adibatla,approval by RERA
178,2 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 50.54 L,1330 ,Adibatla,approval by RERA
179,2 BHK Apartment in ELV 55 East Fort,ELV Projects,Under Construction,"5,200 / sq ft", 78.78 L,1515 ,Bandlaguda Jagir,approval by RERA
180,3 BHK Apartment in ELV 55 East Fort,ELV Projects,Under Construction,"5,200 / sq ft", 1.14 Cr,2210 ,Bandlaguda Jagir,approval by RERA
181,2 BHK Apartment in ELV 55 East Fort,ELV Projects,Under Construction,"5,200 / sq ft", 65.78 L,1265 ,Bandlaguda Jagir,approval by RERA
182,2 BHK Apartment in ELV 55 East Fort,ELV Projects,Under Construction,"5,200 / sq ft", 62.4 L,1200 ,Bandlaguda Jagir,approval by RERA
183,2 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 53.01 L,1395 ,Adibatla,approval by RERA
184,2 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 48.83 L,1285 ,Adibatla,approval by RERA
185,2 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"4,184 / sq ft", 49.99 L,1195 ,Adibatla,approval by RERA
186,3 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 64.03 L,1685 ,Adibatla,approval by RERA
187,3 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 61.75 L,1625 ,Adibatla,approval by RERA
188,3 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"4,830 / sq ft", 85 L,1760 ,Adibatla,approval by RERA
189,2 BHK Apartment in ELV ELV Cosmopolis,ELV Projects,Under Construction,"3,800 / sq ft", 50.54 L,1330 ,Adibatla,approval by RERA
190,2 BHK Apartment in N Square Shoolin City,N Square Projects,Under Construction,"3,700 / sq ft", 37.37 L,1010 ,Shankarpalli,approval by RERA
191,2 BHK Apartment in N Square Shoolin City,N Square Projects,Under Construction,"3,700 / sq ft", 40.7 L,1100 ,Shankarpalli,approval by RERA
192,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.29 Cr,1660 ,Begumpet,approval by RERA
193,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.47 Cr,1885 ,Begumpet,approval by RERA
194,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.05 Cr,1356 ,Begumpet,approval by RERA
195,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 80.41 L,1031 ,Begumpet,approval by RERA
196,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.16 Cr,1495 ,Begumpet,approval by RERA
197,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 96.33 L,1235 ,Begumpet,approval by RERA
198,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.37 Cr,1765 ,Begumpet,approval by RERA
199,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 95.94 L,1230 ,Begumpet,approval by RERA
200,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.19 Cr,1535 ,Begumpet,approval by RERA
201,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 94.38 L,1210 ,Begumpet,approval by RERA
202,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.2 Cr,1540 ,Begumpet,approval by RERA
203,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.15 Cr,1475 ,Begumpet,approval by RERA
204,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.14 Cr,1470 ,Begumpet,approval by RERA
205,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.41 Cr,1810 ,Begumpet,approval by RERA
206,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1 Cr,1285 ,Begumpet,approval by RERA
207,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 88.14 L,1130 ,Begumpet,approval by RERA
208,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.18 Cr,1520 ,Begumpet,approval by RERA
209,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.61 Cr,2065 ,Begumpet,approval by RERA
210,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 98.67 L,1265 ,Begumpet,approval by RERA
211,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 93.6 L,1200 ,Begumpet,approval by RERA
212,2 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 98.51 L,1263 ,Begumpet,approval by RERA
213,2 BHK Apartment in Ramky Golden Circle,Ramky Estates Farms Ltd,Under Construction,"5,322 / sq ft", 74.46 L,1400 ,Tukkuguda,approval by RERA
214,2 BHK Apartment in Ramky Golden Circle,Ramky Estates Farms Ltd,Under Construction,"5,513 / sq ft", 86 L,1560 ,Tukkuguda,approval by RERA
215,2 BHK Apartment in Ramky Golden Circle,Ramky Estates Farms Ltd,Under Construction,"5,319 / sq ft", 72.33 L,1360 ,Tukkuguda,approval by RERA
216,2 BHK Apartment in Ramky Golden Circle,Ramky Estates Farms Ltd,Under Construction,"5,319 / sq ft", 78.19 L,1470 ,Tukkuguda,approval by RERA
217,3 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 2.42 Cr,2427 ,Hitech City,approval by RERA
218,4 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 4.35 Cr,4366 ,Hitech City,approval by RERA
219,4 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 3.69 Cr,3700 ,Hitech City,approval by RERA
220,3 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 2.69 Cr,2700 ,Hitech City,approval by RERA
221,4 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 3.46 Cr,3467 ,Hitech City,approval by RERA
222,3 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 2.74 Cr,2750 ,Hitech City,approval by RERA
223,3 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 3.81 Cr,3826 ,Hitech City,approval by RERA
224,4 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 3.29 Cr,3300 ,Hitech City,approval by RERA
225,4 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 4.84 Cr,4850 ,Hitech City,approval by RERA
226,4 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 4.83 Cr,4849 ,Hitech City,approval by RERA
227,4 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 3.79 Cr,3800 ,Hitech City,approval by RERA
228,3 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 2.59 Cr,2600 ,Hitech City,approval by RERA
229,3 BHK Apartment in Navya Uvera Heights,Navya Developers,Under Construction,"6,765 / sq ft", 1.49 Cr,2205 ,LB Nagar,approval by RERA
230,2 BHK Apartment in Navya Uvera Heights,Navya Developers,Under Construction,"6,907 / sq ft", 89.38 L,1295 ,LB Nagar,approval by RERA
231,3 BHK Apartment in Navya Uvera Heights,Navya Developers,Under Construction,"6,804 / sq ft", 1.35 Cr,1995 ,LB Nagar,approval by RERA
232,3 BHK Apartment in Provident Kenworth,Provident Housing Limited,Ready to move,"6,159 / sq ft", 64.49 L,1047 ,Rajendra Nagar,not approval by RERA
233,1 BHK Apartment in Provident Kenworth,Provident Housing Limited,Ready to move,"6,777 / sq ft", 40.19 L,593 ,Rajendra Nagar,not approval by RERA
234,4 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"6,999 / sq ft", 2.47 Cr,3530 ,Gandipet,approval by RERA
235,3 BHK Apartment in GHR Titania,GHR Infra,Under Construction,"6,749 / sq ft", 1.29 Cr,1922 ,Kondapur,approval by RERA
236,3 BHK Apartment in GHR Titania,GHR Infra,Under Construction,"6,749 / sq ft", 1.65 Cr,2451 ,Kondapur,approval by RERA
237,3 BHK Apartment in GHR Titania,GHR Infra,Under Construction,"6,749 / sq ft", 1.19 Cr,1766 ,Kondapur,approval by RERA
238,3 BHK Apartment in Sumadhura The Olympus,Sumadhura Infracon Pvt Ltd,Under Construction,"7,499 / sq ft", 2.15 Cr,2880 ,Nanakramguda,approval by RERA
239,3 BHK Apartment in Sumadhura The Olympus,Sumadhura Infracon Pvt Ltd,Under Construction,"7,499 / sq ft", 1.73 Cr,2320 ,Nanakramguda,approval by RERA
240,3 BHK Apartment in Sumadhura The Olympus,Sumadhura Infracon Pvt Ltd,Under Construction,"7,499 / sq ft", 1.51 Cr,2020 ,Nanakramguda,approval by RERA
241,3 BHK Apartment in Sumadhura The Olympus,Sumadhura Infracon Pvt Ltd,Under Construction,"7,499 / sq ft", 1.7 Cr,2270 ,Nanakramguda,approval by RERA
242,4 BHK Villa in Vessella Meadows,Vessella Group,Under Construction,"18,000 / sq ft", 8.03 Cr,4464 ,Narsingi,approval by RERA
243,5 BHK Villa in Vessella Meadows,Vessella Group,Under Construction,"18,000 / sq ft", 9.39 Cr,5222 ,Narsingi,approval by RERA
244,4 BHK Villa in Vessella Meadows,Vessella Group,Under Construction,"18,000 / sq ft", 7.99 Cr,4444 ,Narsingi,approval by RERA
245,5 BHK Villa in Vessella Meadows,Vessella Group,Under Construction,"18,000 / sq ft", 9.66 Cr,5371 ,Narsingi,approval by RERA
246,4 BHK Villa in Vessella Meadows,Vessella Group,Under Construction,"18,000 / sq ft", 6.42 Cr,3567 ,Narsingi,approval by RERA
247,3 BHK Apartment in Bridge Paramount,Bridge Constructions Private Limited,Under Construction,"9,500 / sq ft", 1.57 Cr,1655 ,Padmarao Nagar,approval by RERA
248,3 BHK Apartment in Bridge Paramount,Bridge Constructions Private Limited,Under Construction,"9,500 / sq ft", 2.02 Cr,2135 ,Padmarao Nagar,approval by RERA
249,3 BHK Apartment in Bridge Paramount,Bridge Constructions Private Limited,Under Construction,"9,500 / sq ft", 1.61 Cr,1695 ,Padmarao Nagar,approval by RERA
250,3 BHK Apartment in Bridge Paramount,Bridge Constructions Private Limited,Under Construction,"9,500 / sq ft", 1.8 Cr,1895 ,Padmarao Nagar,approval by RERA
251,4 BHK Apartment in Bridge Aquaria,Bridge Constructions Private Limited,Ready to move,"7,000 / sq ft", 3.94 Cr,5638 ,Kondapur,not approval by RERA
252,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 79.67 L,1226 ,Nallagandla Gachibowli,not approval by RERA
253,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 88.12 L,1356 ,Nallagandla Gachibowli,not approval by RERA
254,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 82.86 L,1275 ,Nallagandla Gachibowli,not approval by RERA
255,3 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 1.08 Cr,1675 ,Nallagandla Gachibowli,not approval by RERA
256,3 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 1.04 Cr,1606 ,Nallagandla Gachibowli,not approval by RERA
257,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 82.6 L,1271 ,Nallagandla Gachibowli,not approval by RERA
258,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 87.93 L,1353 ,Nallagandla Gachibowli,not approval by RERA
259,3 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 1.04 Cr,1610 ,Nallagandla Gachibowli,not approval by RERA
260,3 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 1.22 Cr,1879 ,Nallagandla Gachibowli,not approval by RERA
261,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 99.1 L,1525 ,Nallagandla Gachibowli,not approval by RERA
262,3 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 1.2 Cr,1850 ,Nallagandla Gachibowli,not approval by RERA
263,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 81.82 L,1259 ,Nallagandla Gachibowli,not approval by RERA
264,3 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 99.1 L,1525 ,Nallagandla Gachibowli,not approval by RERA
265,3 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 1.16 Cr,1791 ,Nallagandla Gachibowli,not approval by RERA
266,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 82.21 L,1265 ,Nallagandla Gachibowli,not approval by RERA
267,3 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 1.08 Cr,1664 ,Nallagandla Gachibowli,not approval by RERA
268,2 BHK Apartment in Trishala Saffron Sanathan,Trishala Infrastructure,Ready to move,"6,499 / sq ft", 82.08 L,1263 ,Nallagandla Gachibowli,not approval by RERA
269,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 98.52 L,1642 ,Nallagandla Gachibowli,approval by RERA
270,3 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 94.14 L,1569 ,Nallagandla Gachibowli,approval by RERA
271,3 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 1.02 Cr,1707 ,Nallagandla Gachibowli,approval by RERA
272,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 90.84 L,1514 ,Nallagandla Gachibowli,approval by RERA
273,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 86.82 L,1447 ,Nallagandla Gachibowli,approval by RERA
274,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 66.96 L,1116 ,Nallagandla Gachibowli,approval by RERA
275,3 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 1.05 Cr,1752 ,Nallagandla Gachibowli,approval by RERA
276,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 73.68 L,1228 ,Nallagandla Gachibowli,approval by RERA
277,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 93.66 L,1561 ,Nallagandla Gachibowli,approval by RERA
278,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 92.58 L,1543 ,Nallagandla Gachibowli,approval by RERA
279,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 84.24 L,1404 ,Nallagandla Gachibowli,approval by RERA
280,3 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 96.84 L,1614 ,Nallagandla Gachibowli,approval by RERA
281,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 71.76 L,1196 ,Nallagandla Gachibowli,approval by RERA
282,3 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 1.14 Cr,1915 ,Nallagandla Gachibowli,approval by RERA
283,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 79.5 L,1325 ,Nallagandla Gachibowli,approval by RERA
284,3 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 1.07 Cr,1789 ,Nallagandla Gachibowli,approval by RERA
285,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 75.36 L,1256 ,Nallagandla Gachibowli,approval by RERA
286,2 BHK Apartment in Riddhi Saphire,Riddhi Group,Under Construction,"6,595 / sq ft", 84.74 L,1285 ,Narsingi,approval by RERA
287,3 BHK Apartment in Riddhi Saphire,Riddhi Group,Under Construction,"6,595 / sq ft", 1.08 Cr,1650 ,Narsingi,approval by RERA
288,3 BHK Apartment in Riddhi Saphire,Riddhi Group,Under Construction,"6,595 / sq ft", 1.21 Cr,1845 ,Narsingi,approval by RERA
289,3 BHK Apartment in Riddhi Saphire,Riddhi Group,Under Construction,"6,595 / sq ft", 99.91 L,1515 ,Narsingi,approval by RERA
290,3 BHK Apartment in Riddhi Saphire,Riddhi Group,Under Construction,"6,595 / sq ft", 1.07 Cr,1625 ,Narsingi,approval by RERA
291,3 BHK Apartment in Riddhi Saphire,Riddhi Group,Under Construction,"6,595 / sq ft", 1.35 Cr,2055 ,Narsingi,approval by RERA
292,3 BHK Villa in Trishala The Village,Trishala Infrastructure,Under Construction,"8,516 / sq ft", 2.27 Cr,2677 ,Shamshabad,approval by RERA
293,3 BHK Apartment in Vajra The Royal Park,Vajra Builders And Developers,Under Construction,"4,200 / sq ft", 70.35 L,1675 ,Bowrampet,approval by RERA
294,2 BHK Apartment in Riddhi Golden Nest,Riddhi Group,Under Construction,"6,300 / sq ft", 80.95 L,1285 ,Puppalaguda,approval by RERA
295,3 BHK Apartment in Riddhi Golden Nest,Riddhi Group,Under Construction,"6,300 / sq ft", 1.07 Cr,1700 ,Puppalaguda,approval by RERA
296,2 BHK Apartment in Riddhi Golden Nest,Riddhi Group,Under Construction,"6,300 / sq ft", 81.77 L,1298 ,Puppalaguda,approval by RERA
297,3 BHK Apartment in Riddhi Golden Nest,Riddhi Group,Under Construction,"6,300 / sq ft", 1.04 Cr,1665 ,Puppalaguda,approval by RERA
298,3 BHK Apartment in Aspire Spaces Ameya,Aspire Spaces Private Limited,Under Construction,"5,199 / sq ft", 89.16 L,1715 ,Miyapur,approval by RERA
299,3 BHK Apartment in Aspire Spaces Ameya,Aspire Spaces Private Limited,Under Construction,"5,199 / sq ft", 84.48 L,1625 ,Miyapur,approval by RERA
300,2 BHK Apartment in Aspire Spaces Ameya,Aspire Spaces Private Limited,Under Construction,"5,199 / sq ft", 77.72 L,1495 ,Miyapur,approval by RERA
301,2 BHK Apartment in Aspire Spaces Ameya,Aspire Spaces Private Limited,Under Construction,"5,199 / sq ft", 69.14 L,1330 ,Miyapur,approval by RERA
302,2 BHK Apartment in Tribhuja Tribhuja,Tribhuja Realty,Under Construction,"3,399 / sq ft", 44.86 L,1320 ,Kollur,approval by RERA
303,2 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 63.71 L,1385 ,Kollur,approval by RERA
304,3 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 86.25 L,1875 ,Kollur,approval by RERA
305,2 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 71.3 L,1550 ,Kollur,approval by RERA
306,3 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 83.72 L,1820 ,Kollur,approval by RERA
307,2 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 65.32 L,1420 ,Kollur,approval by RERA
308,3 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 1.01 Cr,2200 ,Kollur,approval by RERA
309,2 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 64.4 L,1400 ,Kollur,approval by RERA
310,2 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,600 / sq ft", 75.21 L,1635 ,Kollur,approval by RERA
311,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.13 Cr,3094 ,Hyder Nagar,approval by RERA
312,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.13 Cr,3094 ,Hyder Nagar,approval by RERA
313,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.36 Cr,3435 ,Hyder Nagar,approval by RERA
314,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.36 Cr,3435 ,Hyder Nagar,approval by RERA
315,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.13 Cr,3094 ,Hyder Nagar,approval by RERA
316,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.13 Cr,3094 ,Hyder Nagar,approval by RERA
317,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.76 Cr,2560 ,Hyder Nagar,approval by RERA
318,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.76 Cr,2560 ,Hyder Nagar,approval by RERA
319,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.4 Cr,2040 ,Hyder Nagar,approval by RERA
320,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.4 Cr,2040 ,Hyder Nagar,approval by RERA
321,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.02 Cr,2939 ,Hyder Nagar,approval by RERA
322,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.02 Cr,2939 ,Hyder Nagar,approval by RERA
323,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.39 Cr,2020 ,Hyder Nagar,approval by RERA
324,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.39 Cr,2020 ,Hyder Nagar,approval by RERA
325,2 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 92.79 L,1345 ,Hyder Nagar,approval by RERA
326,2 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 92.79 L,1345 ,Hyder Nagar,approval by RERA
327,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.89 Cr,2740 ,Hyder Nagar,approval by RERA
328,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.89 Cr,2740 ,Hyder Nagar,approval by RERA
329,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.54 Cr,2240 ,Hyder Nagar,approval by RERA
330,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.54 Cr,2240 ,Hyder Nagar,approval by RERA
331,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.5 Cr,2179 ,Hyder Nagar,approval by RERA
332,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.5 Cr,2179 ,Hyder Nagar,approval by RERA
333,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2 Cr,2900 ,Hyder Nagar,approval by RERA
334,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2 Cr,2900 ,Hyder Nagar,approval by RERA
335,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.26 Cr,1837 ,Hyder Nagar,approval by RERA
336,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.26 Cr,1837 ,Hyder Nagar,approval by RERA
337,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.36 Cr,1980 ,Hyder Nagar,approval by RERA
338,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.36 Cr,1980 ,Hyder Nagar,approval by RERA
339,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.01 Cr,2920 ,Hyder Nagar,approval by RERA
340,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.01 Cr,2920 ,Hyder Nagar,approval by RERA
341,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.65 Cr,2392 ,Hyder Nagar,approval by RERA
342,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.65 Cr,2392 ,Hyder Nagar,approval by RERA
343,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.64 Cr,2388 ,Hyder Nagar,approval by RERA
344,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 1.64 Cr,2388 ,Hyder Nagar,approval by RERA
345,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth,Under Construction,"6,899 / sq ft", 2.5 Cr,3624 ,Hyder Nagar,approval by RERA
