,property_type,seller,status,rate per sqft,price,area,location,RERA
536,2 BHK Apartment in Indis VB City,seller,Ready to move,"5,581 / sq ft", 47 L,842 ,Bolarum,not approval by RERA
537,3 BHK Villa,seller,Under Construction,"6,558 / sq ft", 1.45 Cr,2211 ,Hanamkonda,not approval by RERA
538,3 BHK Apartment in White Waters At Y,seller,Under Construction,"7,619 / sq ft", 1.2 Cr,1575 ,Kukatpally,approval by RERA
539,3 BHK Apartment,seller,Ready to move,"6,805 / sq ft", 98 L,1440 ,Amberpet,not approval by RERA
540,2 BHK Apartment,seller,Ready to move,"4,376 / sq ft", 46 L,1051 ,Pragathi Nagar Kukatpally,not approval by RERA
541,3 BHK Villa,seller,Under Construction,"6,558 / sq ft", 1.45 Cr,2211 ,Hanamkonda,not approval by RERA
542,2 BHK Apartment in Sneha Enclave,seller,Ready to move,"9,000 / sq ft", 90 L,1000 ,Yellareddy Guda,not approval by RERA
543,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 62.59 L,1304 ,Chengicherla,approval by RERA
544,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 60.19 L,1254 ,Chengicherla,approval by RERA
545,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 55.29 L,1152 ,Chengicherla,approval by RERA
546,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 45.79 L,954 ,Chengicherla,approval by RERA
547,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 52.6 L,1096 ,Chengicherla,approval by RERA
548,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 44.49 L,927 ,Chengicherla,approval by RERA
549,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 53.9 L,1123 ,Chengicherla,approval by RERA
550,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 62.54 L,1303 ,Chengicherla,approval by RERA
551,2 BHK Apartment in Ayati Lake View ,Ayati Properties,Under Construction,"4,800 / sq ft", 54.57 L,1137 ,Chengicherla,approval by RERA
